,antecedents,consequents,confidence
0,"frozenset({'Road-250 Black, 48', 'Road-550-W Yellow, 38'})","frozenset({'Road-250 Black, 44'})",0.9112903225806451
1,"frozenset({'Road-350-W Yellow, 40', 'Road-250 Black, 44'})","frozenset({'Road-350-W Yellow, 48'})",0.9047619047619047
2,"frozenset({'Road-550-W Yellow, 40', 'Road-350-W Yellow, 40'})","frozenset({'Road-250 Black, 44'})",0.9115044247787611
3,"frozenset({'Road-350-W Yellow, 40', 'Road-250 Black, 44'})","frozenset({'Road-550-W Yellow, 48'})",0.9047619047619047
4,"frozenset({'Road-250 Black, 44', 'Road-750 Black, 48'})","frozenset({'Road-350-W Yellow, 40'})",0.9256198347107437
5,"frozenset({'Road-350-W Yellow, 40', 'Road-250 Black, 44'})","frozenset({'Road-750 Black, 52'})",0.9126984126984127
6,"frozenset({'Road-550-W Yellow, 40', 'Road-350-W Yellow, 42'})","frozenset({'Road-250 Black, 44'})",0.9098360655737704
7,"frozenset({'Road-550-W Yellow, 40', 'Road-350-W Yellow, 48'})","frozenset({'Road-250 Black, 44'})",0.9130434782608696
8,"frozenset({'Road-250 Black, 44', 'Road-350-W Yellow, 48'})","frozenset({'Road-550-W Yellow, 48'})",0.9015151515151515
9,"frozenset({'Road-250 Black, 44', 'Road-750 Black, 48'})","frozenset({'Road-350-W Yellow, 48'})",0.9173553719008264
10,"frozenset({'Road-550-W Yellow, 40', 'Road-550-W Yellow, 38'})","frozenset({'Road-250 Black, 44'})",0.9322033898305085
11,"frozenset({'Road-250 Black, 44', 'Road-750 Black, 48'})","frozenset({'Road-550-W Yellow, 38'})",0.9090909090909091
12,"frozenset({'Road-550-W Yellow, 38', 'Road-750 Black, 58'})","frozenset({'Road-250 Black, 44'})",0.9022556390977444
13,"frozenset({'Road-550-W Yellow, 40', 'Road-550-W Yellow, 48'})","frozenset({'Road-250 Black, 44'})",0.9039999999999999
14,"frozenset({'Road-550-W Yellow, 40', 'Road-750 Black, 48'})","frozenset({'Road-250 Black, 44'})",0.9174311926605505
15,"frozenset({'Road-550-W Yellow, 40', 'Road-750 Black, 52'})","frozenset({'Road-250 Black, 44'})",0.9152542372881357
16,"frozenset({'Road-250 Black, 44', 'Road-750 Black, 48'})","frozenset({'Road-550-W Yellow, 48'})",0.9173553719008264
17,"frozenset({'Road-250 Black, 44', 'Road-750 Black, 48'})","frozenset({'Road-750 Black, 52'})",0.9090909090909091
18,"frozenset({'Road-250 Black, 48', 'Road-350-W Yellow, 40'})","frozenset({'Road-350-W Yellow, 48'})",0.9043478260869566
19,"frozenset({'Road-250 Black, 48', 'Road-350-W Yellow, 40'})","frozenset({'Road-550-W Yellow, 38'})",0.9130434782608696
20,"frozenset({'Road-250 Black, 48', 'Road-350-W Yellow, 40'})","frozenset({'Road-550-W Yellow, 48'})",0.9217391304347827
21,"frozenset({'Road-250 Black, 48', 'Road-350-W Yellow, 40'})","frozenset({'Road-750 Black, 48'})",0.9217391304347827
22,"frozenset({'Road-250 Black, 48', 'Road-750 Black, 48'})","frozenset({'Road-350-W Yellow, 40'})",0.9298245614035089
23,"frozenset({'Road-250 Black, 48', 'Road-350-W Yellow, 40'})","frozenset({'Road-750 Black, 52'})",0.9130434782608696
24,"frozenset({'Road-250 Black, 48', 'Road-350-W Yellow, 40'})","frozenset({'Road-750 Black, 58'})",0.9304347826086957
25,"frozenset({'Road-250 Black, 48', 'Road-350-W Yellow, 42'})","frozenset({'Road-550-W Yellow, 48'})",0.9090909090909091
26,"frozenset({'Road-250 Black, 48', 'Road-350-W Yellow, 42'})","frozenset({'Road-750 Black, 58'})",0.9090909090909091
27,"frozenset({'Road-250 Black, 48', 'Road-350-W Yellow, 48'})","frozenset({'Road-550-W Yellow, 38'})",0.9166666666666666
28,"frozenset({'Road-250 Black, 48', 'Road-350-W Yellow, 48'})","frozenset({'Road-550-W Yellow, 48'})",0.9166666666666666
29,"frozenset({'Road-250 Black, 48', 'Road-750 Black, 48'})","frozenset({'Road-350-W Yellow, 48'})",0.912280701754386
30,"frozenset({'Road-250 Black, 48', 'Road-350-W Yellow, 48'})","frozenset({'Road-750 Black, 58'})",0.9333333333333332
31,"frozenset({'Road-550-W Yellow, 40', 'Road-550-W Yellow, 38'})","frozenset({'Road-250 Black, 48'})",0.9067796610169493
32,"frozenset({'Road-250 Black, 48', 'Road-550-W Yellow, 38'})","frozenset({'Road-550-W Yellow, 48'})",0.9032258064516129
33,"frozenset({'Road-250 Black, 48', 'Road-750 Black, 48'})","frozenset({'Road-550-W Yellow, 38'})",0.9035087719298247
34,"frozenset({'Road-250 Black, 48', 'Road-750 Black, 52'})","frozenset({'Road-550-W Yellow, 38'})",0.9075630252100841
35,"frozenset({'Road-250 Black, 48', 'Road-550-W Yellow, 38'})","frozenset({'Road-750 Black, 58'})",0.9274193548387096
36,"frozenset({'Road-550-W Yellow, 40', 'Road-750 Black, 48'})","frozenset({'Road-250 Black, 48'})",0.9174311926605505
37,"frozenset({'Road-250 Black, 48', 'Road-750 Black, 48'})","frozenset({'Road-550-W Yellow, 48'})",0.9298245614035089
38,"frozenset({'Road-250 Black, 48', 'Road-750 Black, 52'})","frozenset({'Road-550-W Yellow, 48'})",0.9159663865546219
39,"frozenset({'Road-250 Black, 48', 'Road-550-W Yellow, 48'})","frozenset({'Road-750 Black, 58'})",0.9279999999999999
40,"frozenset({'Road-250 Black, 48', 'Road-750 Black, 48'})","frozenset({'Road-750 Black, 52'})",0.9035087719298247
41,"frozenset({'Road-250 Black, 48', 'Road-750 Black, 48'})","frozenset({'Road-750 Black, 58'})",0.9473684210526316
42,"frozenset({'Road-750 Black, 48', 'Road-750 Black, 58'})","frozenset({'Road-250 Black, 48'})",0.9152542372881357
43,"frozenset({'Road-250 Black, 48', 'Road-750 Black, 52'})","frozenset({'Road-750 Black, 58'})",0.9243697478991597
44,"frozenset({'Road-350-W Yellow, 40', 'Road-350-W Yellow, 42'})","frozenset({'Road-350-W Yellow, 48'})",0.9007633587786259
45,"frozenset({'Road-550-W Yellow, 40', 'Road-350-W Yellow, 40'})","frozenset({'Road-350-W Yellow, 42'})",0.9026548672566372
46,"frozenset({'Road-350-W Yellow, 42', 'Road-750 Black, 48'})","frozenset({'Road-350-W Yellow, 40'})",0.9285714285714285
47,"frozenset({'Road-350-W Yellow, 40', 'Road-350-W Yellow, 42'})","frozenset({'Road-750 Black, 52'})",0.9389312977099238
48,"frozenset({'Road-350-W Yellow, 40', 'Road-550-W Yellow, 38'})","frozenset({'Road-350-W Yellow, 48'})",0.9197080291970804
49,"frozenset({'Road-750 Black, 48', 'Road-350-W Yellow, 48'})","frozenset({'Road-350-W Yellow, 40'})",0.90625
50,"frozenset({'Road-350-W Yellow, 40', 'Road-750 Black, 58'})","frozenset({'Road-350-W Yellow, 48'})",0.9090909090909091
