,antecedents,consequents,confidence
0,"frozenset({'Classic Vest, S'})",frozenset({'Hitch Rack - 4-Bike'}),0.6019230769230769
1,"frozenset({'Classic Vest, S'})","frozenset({'Short-Sleeve Classic Jersey, XL'})",0.65
2,frozenset({'HL Mountain Tire'}),frozenset({'Mountain Tire Tube'}),0.6840215439856373
3,frozenset({'HL Road Tire'}),frozenset({'Road Tire Tube'}),0.6772334293948127
4,frozenset({'ML Mountain Tire'}),frozenset({'Mountain Tire Tube'}),0.6447105788423153
5,frozenset({'ML Road Tire'}),frozenset({'Road Tire Tube'}),0.6575520833333334
6,frozenset({'Mountain Bottle Cage'}),frozenset({'Water Bottle - 30 oz.'}),0.8320802005012532
7,frozenset({'Road Bottle Cage'}),frozenset({'Water Bottle - 30 oz.'}),0.8734723220704529
8,frozenset({'Touring Tire'}),frozenset({'Touring Tire Tube'}),0.8443337484433374
9,"frozenset({'Hitch Rack - 4-Bike', 'AWC Logo Cap'})","frozenset({'Classic Vest, S'})",0.9311475409836066
10,"frozenset({'Hitch Rack - 4-Bike', 'Classic Vest, S'})",frozenset({'AWC Logo Cap'}),0.9073482428115017
11,"frozenset({'AWC Logo Cap', 'Classic Vest, S'})",frozenset({'Hitch Rack - 4-Bike'}),0.953020134228188
12,"frozenset({'Long-Sleeve Logo Jersey, L', 'AWC Logo Cap'})","frozenset({'Classic Vest, S'})",0.7678100263852242
13,"frozenset({'Long-Sleeve Logo Jersey, L', 'Classic Vest, S'})",frozenset({'AWC Logo Cap'}),0.9831081081081081
14,"frozenset({'AWC Logo Cap', 'Classic Vest, S'})","frozenset({'Long-Sleeve Logo Jersey, L'})",0.9765100671140939
15,"frozenset({'Short-Sleeve Classic Jersey, XL', 'AWC Logo Cap'})","frozenset({'Classic Vest, S'})",0.8092643051771118
16,"frozenset({'Short-Sleeve Classic Jersey, XL', 'Classic Vest, S'})",frozenset({'AWC Logo Cap'}),0.8786982248520709
17,"frozenset({'AWC Logo Cap', 'Classic Vest, S'})","frozenset({'Short-Sleeve Classic Jersey, XL'})",0.9966442953020135
18,"frozenset({'Long-Sleeve Logo Jersey, L', 'Hitch Rack - 4-Bike'})",frozenset({'AWC Logo Cap'}),0.9657534246575343
19,"frozenset({'Long-Sleeve Logo Jersey, L', 'AWC Logo Cap'})",frozenset({'Hitch Rack - 4-Bike'}),0.7440633245382585
20,"frozenset({'Hitch Rack - 4-Bike', 'AWC Logo Cap'})","frozenset({'Long-Sleeve Logo Jersey, L'})",0.9245901639344263
21,"frozenset({'Short-Sleeve Classic Jersey, XL', 'Hitch Rack - 4-Bike'})",frozenset({'AWC Logo Cap'}),0.9041533546325878
22,"frozenset({'Short-Sleeve Classic Jersey, XL', 'AWC Logo Cap'})",frozenset({'Hitch Rack - 4-Bike'}),0.7711171662125341
23,"frozenset({'Hitch Rack - 4-Bike', 'AWC Logo Cap'})","frozenset({'Short-Sleeve Classic Jersey, XL'})",0.9278688524590164
24,"frozenset({'Short-Sleeve Classic Jersey, XL', 'Long-Sleeve Logo Jersey, L'})",frozenset({'AWC Logo Cap'}),0.9797979797979798
25,"frozenset({'Short-Sleeve Classic Jersey, XL', 'AWC Logo Cap'})","frozenset({'Long-Sleeve Logo Jersey, L'})",0.7929155313351499
26,"frozenset({'Long-Sleeve Logo Jersey, L', 'AWC Logo Cap'})","frozenset({'Short-Sleeve Classic Jersey, XL'})",0.7678100263852242
