,antecedents,consequents,confidence
0,frozenset({'Handlebars'}),frozenset({'Pedals'}),0.7222222222222223
1,"frozenset({'Bike Racks', 'Caps'})",frozenset({'Bottles and Cages'}),0.8773584905660378
2,"frozenset({'Bike Racks', 'Bottles and Cages'})",frozenset({'Caps'}),0.8691588785046729
3,"frozenset({'Bike Racks', 'Bottles and Cages'})",frozenset({'Jerseys'}),0.909657320872274
4,"frozenset({'Bike Racks', 'Jerseys'})",frozenset({'Bottles and Cages'}),0.8414985590778098
5,"frozenset({'Bike Racks', 'Bottles and Cages'})",frozenset({'Vests'}),0.8909657320872274
6,"frozenset({'Bike Racks', 'Vests'})",frozenset({'Bottles and Cages'}),0.8614457831325302
7,"frozenset({'Bottles and Cages', 'Vests'})",frozenset({'Bike Racks'}),0.715
8,"frozenset({'Bike Racks', 'Caps'})",frozenset({'Jerseys'}),0.9591194968553459
9,"frozenset({'Bike Racks', 'Jerseys'})",frozenset({'Caps'}),0.8789625360230549
10,"frozenset({'Bike Racks', 'Caps'})",frozenset({'Vests'}),0.9308176100628931
11,"frozenset({'Caps', 'Vests'})",frozenset({'Bike Racks'}),0.9517684887459807
12,"frozenset({'Bike Racks', 'Vests'})",frozenset({'Caps'}),0.891566265060241
13,"frozenset({'Bike Racks', 'Vests'})",frozenset({'Jerseys'}),0.9969879518072289
14,"frozenset({'Vests', 'Jerseys'})",frozenset({'Bike Racks'}),0.9019073569482289
15,"frozenset({'Bike Racks', 'Jerseys'})",frozenset({'Vests'}),0.9538904899135446
16,"frozenset({'Caps', 'Vests'})",frozenset({'Bottles and Cages'}),0.8971061093247589
17,"frozenset({'Bottles and Cages', 'Vests'})",frozenset({'Caps'}),0.6974999999999999
18,"frozenset({'Gloves', 'Bottles and Cages'})",frozenset({'Helmets'}),0.6135371179039301
19,"frozenset({'Bottles and Cages', 'Vests'})",frozenset({'Jerseys'}),0.7274999999999999
20,"frozenset({'Vests', 'Jerseys'})",frozenset({'Bottles and Cages'}),0.7929155313351499
21,"frozenset({'Caps', 'Vests'})",frozenset({'Jerseys'}),1.0
22,"frozenset({'Vests', 'Jerseys'})",frozenset({'Caps'}),0.8474114441416893
23,"frozenset({'Bike Racks', 'Caps', 'Bottles and Cages'})",frozenset({'Jerseys'}),0.992831541218638
24,"frozenset({'Bike Racks', 'Caps', 'Jerseys'})",frozenset({'Bottles and Cages'}),0.9081967213114754
25,"frozenset({'Caps', 'Bottles and Cages', 'Jerseys'})",frozenset({'Bike Racks'}),0.7486486486486487
26,"frozenset({'Bike Racks', 'Bottles and Cages', 'Jerseys'})",frozenset({'Caps'}),0.9486301369863014
27,"frozenset({'Bike Racks', 'Caps'})","frozenset({'Bottles and Cages', 'Jerseys'})",0.8710691823899371
28,"frozenset({'Bike Racks', 'Bottles and Cages'})","frozenset({'Caps', 'Jerseys'})",0.8629283489096573
29,"frozenset({'Bike Racks', 'Jerseys'})","frozenset({'Caps', 'Bottles and Cages'})",0.7982708933717579
30,"frozenset({'Bike Racks', 'Bottles and Cages', 'Vests'})",frozenset({'Jerseys'}),0.9965034965034966
31,"frozenset({'Bike Racks', 'Vests', 'Jerseys'})",frozenset({'Bottles and Cages'}),0.8610271903323263
