,antecedents,consequents,confidence
0,"['Classic Vest, S']",['Hitch Rack - 4-Bike'],0.6019230769230769
1,"['Classic Vest, S']","['Short-Sleeve Classic Jersey, XL']",0.65
2,['HL Mountain Tire'],['Mountain Tire Tube'],0.6840215439856373
3,['HL Road Tire'],['Road Tire Tube'],0.6772334293948127
4,['ML Mountain Tire'],['Mountain Tire Tube'],0.6447105788423153
5,['ML Road Tire'],['Road Tire Tube'],0.6575520833333334
6,['Mountain Bottle Cage'],['Water Bottle - 30 oz.'],0.8320802005012532
7,['Road Bottle Cage'],['Water Bottle - 30 oz.'],0.8734723220704529
8,['Touring Tire'],['Touring Tire Tube'],0.8443337484433374
9,"['AWC Logo Cap', 'Hitch Rack - 4-Bike']","['Classic Vest, S']",0.9311475409836066
10,"['Classic Vest, S', 'Hitch Rack - 4-Bike']",['AWC Logo Cap'],0.9073482428115017
11,"['Classic Vest, S', 'AWC Logo Cap']",['Hitch Rack - 4-Bike'],0.953020134228188
12,"['Long-Sleeve Logo Jersey, L', 'AWC Logo Cap']","['Classic Vest, S']",0.7678100263852242
13,"['Long-Sleeve Logo Jersey, L', 'Classic Vest, S']",['AWC Logo Cap'],0.9831081081081081
14,"['Classic Vest, S', 'AWC Logo Cap']","['Long-Sleeve Logo Jersey, L']",0.9765100671140939
15,"['Short-Sleeve Classic Jersey, XL', 'AWC Logo Cap']","['Classic Vest, S']",0.8092643051771118
16,"['Short-Sleeve Classic Jersey, XL', 'Classic Vest, S']",['AWC Logo Cap'],0.8786982248520709
17,"['Classic Vest, S', 'AWC Logo Cap']","['Short-Sleeve Classic Jersey, XL']",0.9966442953020135
18,"['Long-Sleeve Logo Jersey, L', 'Hitch Rack - 4-Bike']",['AWC Logo Cap'],0.9657534246575343
19,"['Long-Sleeve Logo Jersey, L', 'AWC Logo Cap']",['Hitch Rack - 4-Bike'],0.7440633245382585
20,"['AWC Logo Cap', 'Hitch Rack - 4-Bike']","['Long-Sleeve Logo Jersey, L']",0.9245901639344263
21,"['Short-Sleeve Classic Jersey, XL', 'Hitch Rack - 4-Bike']",['AWC Logo Cap'],0.9041533546325878
22,"['Short-Sleeve Classic Jersey, XL', 'AWC Logo Cap']",['Hitch Rack - 4-Bike'],0.7711171662125341
23,"['AWC Logo Cap', 'Hitch Rack - 4-Bike']","['Short-Sleeve Classic Jersey, XL']",0.9278688524590164
24,"['Long-Sleeve Logo Jersey, L', 'Short-Sleeve Classic Jersey, XL']",['AWC Logo Cap'],0.9797979797979798
25,"['Short-Sleeve Classic Jersey, XL', 'AWC Logo Cap']","['Long-Sleeve Logo Jersey, L']",0.7929155313351499
26,"['Long-Sleeve Logo Jersey, L', 'AWC Logo Cap']","['Short-Sleeve Classic Jersey, XL']",0.7678100263852242
27,"['Long-Sleeve Logo Jersey, L', 'Water Bottle - 30 oz.']",['AWC Logo Cap'],0.8463855421686747
28,"['Long-Sleeve Logo Jersey, L', 'AWC Logo Cap']",['Water Bottle - 30 oz.'],0.741424802110818
29,"['Short-Sleeve Classic Jersey, XL', 'Water Bottle - 30 oz.']",['AWC Logo Cap'],0.7581521739130435
30,"['Short-Sleeve Classic Jersey, XL', 'AWC Logo Cap']",['Water Bottle - 30 oz.'],0.7602179836512262
31,"['Long-Sleeve Logo Jersey, L', 'Hitch Rack - 4-Bike']","['Classic Vest, S']",0.9657534246575343
32,"['Long-Sleeve Logo Jersey, L', 'Classic Vest, S']",['Hitch Rack - 4-Bike'],0.9527027027027027
33,"['Classic Vest, S', 'Hitch Rack - 4-Bike']","['Long-Sleeve Logo Jersey, L']",0.9009584664536742
34,"['Short-Sleeve Classic Jersey, XL', 'Hitch Rack - 4-Bike']","['Classic Vest, S']",0.9936102236421726
35,"['Short-Sleeve Classic Jersey, XL', 'Classic Vest, S']",['Hitch Rack - 4-Bike'],0.9201183431952662
36,"['Classic Vest, S', 'Hitch Rack - 4-Bike']","['Short-Sleeve Classic Jersey, XL']",0.9936102236421726
37,"['Long-Sleeve Logo Jersey, L', 'Short-Sleeve Classic Jersey, XL']","['Classic Vest, S']",0.9932659932659932
38,"['Short-Sleeve Classic Jersey, XL', 'Classic Vest, S']","['Long-Sleeve Logo Jersey, L']",0.8727810650887573
39,"['Long-Sleeve Logo Jersey, L', 'Classic Vest, S']","['Short-Sleeve Classic Jersey, XL']",0.9966216216216216
40,"['Long-Sleeve Logo Jersey, L', 'Short-Sleeve Classic Jersey, XL']",['Hitch Rack - 4-Bike'],0.9461279461279462
41,"['Short-Sleeve Classic Jersey, XL', 'Hitch Rack - 4-Bike']","['Long-Sleeve Logo Jersey, L']",0.8977635782747604
42,"['Long-Sleeve Logo Jersey, L', 'Hitch Rack - 4-Bike']","['Short-Sleeve Classic Jersey, XL']",0.9623287671232877
43,"['Short-Sleeve Classic Jersey, XL', 'Hitch Rack - 4-Bike', 'AWC Logo Cap']","['Classic Vest, S']",1.0
44,"['Short-Sleeve Classic Jersey, XL', 'Classic Vest, S', 'Hitch Rack - 4-Bike']",['AWC Logo Cap'],0.9099678456591639
45,"['Short-Sleeve Classic Jersey, XL', 'Classic Vest, S', 'AWC Logo Cap']",['Hitch Rack - 4-Bike'],0.9528619528619527
46,"['Classic Vest, S', 'Hitch Rack - 4-Bike', 'AWC Logo Cap']","['Short-Sleeve Classic Jersey, XL']",0.9964788732394365
47,"['Short-Sleeve Classic Jersey, XL', 'Hitch Rack - 4-Bike']","['Classic Vest, S', 'AWC Logo Cap']",0.9041533546325878
48,"['Short-Sleeve Classic Jersey, XL', 'AWC Logo Cap']","['Classic Vest, S', 'Hitch Rack - 4-Bike']",0.7711171662125341
49,"['Short-Sleeve Classic Jersey, XL', 'Classic Vest, S']","['AWC Logo Cap', 'Hitch Rack - 4-Bike']",0.8372781065088757
50,"['AWC Logo Cap', 'Hitch Rack - 4-Bike']","['Short-Sleeve Classic Jersey, XL', 'Classic Vest, S']",0.9278688524590164
51,"['Classic Vest, S', 'Hitch Rack - 4-Bike']","['Short-Sleeve Classic Jersey, XL', 'AWC Logo Cap']",0.9041533546325878
52,"['Classic Vest, S', 'AWC Logo Cap']","['Short-Sleeve Classic Jersey, XL', 'Hitch Rack - 4-Bike']",0.9496644295302012
53,"['Long-Sleeve Logo Jersey, L', 'Short-Sleeve Classic Jersey, XL', 'AWC Logo Cap']","['Classic Vest, S']",0.9965635738831615
54,"['Long-Sleeve Logo Jersey, L', 'Short-Sleeve Classic Jersey, XL', 'Classic Vest, S']",['AWC Logo Cap'],0.9830508474576272
55,"['Short-Sleeve Classic Jersey, XL', 'Classic Vest, S', 'AWC Logo Cap']","['Long-Sleeve Logo Jersey, L']",0.9764309764309764
56,"['Long-Sleeve Logo Jersey, L', 'Classic Vest, S', 'AWC Logo Cap']","['Short-Sleeve Classic Jersey, XL']",0.9965635738831615
57,"['Long-Sleeve Logo Jersey, L', 'Short-Sleeve Classic Jersey, XL']","['Classic Vest, S', 'AWC Logo Cap']",0.9764309764309764
58,"['Short-Sleeve Classic Jersey, XL', 'AWC Logo Cap']","['Long-Sleeve Logo Jersey, L', 'Classic Vest, S']",0.790190735694823
59,"['Short-Sleeve Classic Jersey, XL', 'Classic Vest, S']","['Long-Sleeve Logo Jersey, L', 'AWC Logo Cap']",0.8579881656804733
60,"['Long-Sleeve Logo Jersey, L', 'AWC Logo Cap']","['Short-Sleeve Classic Jersey, XL', 'Classic Vest, S']",0.7651715039577837
61,"['Long-Sleeve Logo Jersey, L', 'Classic Vest, S']","['Short-Sleeve Classic Jersey, XL', 'AWC Logo Cap']",0.9797297297297298
62,"['Classic Vest, S', 'AWC Logo Cap']","['Long-Sleeve Logo Jersey, L', 'Short-Sleeve Classic Jersey, XL']",0.9731543624161074
63,"['Long-Sleeve Logo Jersey, L', 'Short-Sleeve Classic Jersey, XL', 'Hitch Rack - 4-Bike']","['Classic Vest, S']",1.0
64,"['Long-Sleeve Logo Jersey, L', 'Short-Sleeve Classic Jersey, XL', 'Classic Vest, S']",['Hitch Rack - 4-Bike'],0.952542372881356
65,"['Short-Sleeve Classic Jersey, XL', 'Classic Vest, S', 'Hitch Rack - 4-Bike']","['Long-Sleeve Logo Jersey, L']",0.9035369774919614
66,"['Long-Sleeve Logo Jersey, L', 'Classic Vest, S', 'Hitch Rack - 4-Bike']","['Short-Sleeve Classic Jersey, XL']",0.9964539007092199
67,"['Long-Sleeve Logo Jersey, L', 'Short-Sleeve Classic Jersey, XL']","['Classic Vest, S', 'Hitch Rack - 4-Bike']",0.9461279461279462
68,"['Short-Sleeve Classic Jersey, XL', 'Hitch Rack - 4-Bike']","['Long-Sleeve Logo Jersey, L', 'Classic Vest, S']",0.8977635782747604
69,"['Short-Sleeve Classic Jersey, XL', 'Classic Vest, S']","['Long-Sleeve Logo Jersey, L', 'Hitch Rack - 4-Bike']",0.831360946745562
70,"['Long-Sleeve Logo Jersey, L', 'Hitch Rack - 4-Bike']","['Short-Sleeve Classic Jersey, XL', 'Classic Vest, S']",0.9623287671232877
71,"['Long-Sleeve Logo Jersey, L', 'Classic Vest, S']","['Short-Sleeve Classic Jersey, XL', 'Hitch Rack - 4-Bike']",0.9493243243243243
72,"['Classic Vest, S', 'Hitch Rack - 4-Bike']","['Long-Sleeve Logo Jersey, L', 'Short-Sleeve Classic Jersey, XL']",0.8977635782747604
